video,teaching_moment,section,section_name,paragraph,display_instruction,camera_map_mode,prompt_file,map_file
4,2,7,A SIMPLE EXAMPLE,2,TRUE FULL-SCREEN ILLUSTRATION | TEST ASSUMPTIONS / CHALLENGE THE ANSWER / EXPLAIN THE RECOMMENDATION,CAMERA,NEW_V04_Synchronized_Production_Package/03_RIVERSIDE/Riverside_CoCreator_Master_Prompt.txt,NEW_V04_Synchronized_Production_Package/03_RIVERSIDE/Camera_and_Full_Screen_Map.txt
5,2,8,"ASK FOR DEVELOPMENT, NOT ONLY MORE WORK",3,TRUE FULL-SCREEN CONVERSATION | A SPECIFIC DEVELOPMENT REQUEST,CAMERA,NEW_V05_Synchronized_Production_Package/03_RIVERSIDE/Riverside_CoCreator_Master_Prompt.txt,NEW_V05_Synchronized_Production_Package/03_RIVERSIDE/Camera_and_Full_Screen_Map.txt
5,3,11,SET A REVIEW POINT,1,TRUE FULL-SCREEN WORKING NOTE | REVIEW WHAT CHANGED,CAMERA,NEW_V05_Synchronized_Production_Package/03_RIVERSIDE/Riverside_CoCreator_Master_Prompt.txt,NEW_V05_Synchronized_Production_Package/03_RIVERSIDE/Camera_and_Full_Screen_Map.txt
6,1,5,2 | AUTHORITY,2,TRUE FULL-SCREEN POSTING COMPARISON | SUPPORTING ≠ SETTING,CAMERA,NEW_V06_Synchronized_Production_Package/03_RIVERSIDE/Riverside_CoCreator_Master_Prompt.txt,NEW_V06_Synchronized_Production_Package/03_RIVERSIDE/Camera_and_Full_Screen_Map.txt
6,2,7,4 | REAL GAP,3,TRUE FULL-SCREEN REQUIREMENT CARD | REQUIRED TIME OVERLAP,CAMERA,NEW_V06_Synchronized_Production_Package/03_RIVERSIDE/Riverside_CoCreator_Master_Prompt.txt,NEW_V06_Synchronized_Production_Package/03_RIVERSIDE/Camera_and_Full_Screen_Map.txt
7,1,6,FOUR THINGS I LOOK FOR,1,TRUE FULL-SCREEN TEACHING | VISIBLE PROOF / JUDGMENT / TRUST / SPONSORSHIP + ACCESS,CAMERA,NEW_V07_Synchronized_Production_Package/03_RIVERSIDE/Riverside_CoCreator_Master_Prompt.txt,NEW_V07_Synchronized_Production_Package/03_RIVERSIDE/Camera_and_Full_Screen_Map.txt
7,2,9,A CONVERSATION YOU CAN HAVE,1,TRUE FULL-SCREEN CONVERSATION | ASK FOR A CLEARER TARGET,CAMERA,NEW_V07_Synchronized_Production_Package/03_RIVERSIDE/Riverside_CoCreator_Master_Prompt.txt,NEW_V07_Synchronized_Production_Package/03_RIVERSIDE/Camera_and_Full_Screen_Map.txt
7,3,11,READ YOUR OWN SITUATION,1,TRUE FULL-SCREEN WORKING NOTE | PROBLEM / MY DECISION / WHO SAW IT / WHAT CHANGED,CAMERA,NEW_V07_Synchronized_Production_Package/03_RIVERSIDE/Riverside_CoCreator_Master_Prompt.txt,NEW_V07_Synchronized_Production_Package/03_RIVERSIDE/Camera_and_Full_Screen_Map.txt
8,3,6,WHAT TO WRITE DOWN,2,TRUE FULL-SCREEN EXAMPLE NOTE | MY DECISION: Y / BUDGET APPROVAL: Z,CAMERA,NEW_V08_Synchronized_Production_Package/03_RIVERSIDE/Riverside_CoCreator_Master_Prompt.txt,NEW_V08_Synchronized_Production_Package/03_RIVERSIDE/Camera_and_Full_Screen_Map.txt
8,4,13,STORY LOOP PAYOFF,1,"TRUE FULL-SCREEN CALLBACK, THEN CAMERA | ACCESS MAY END. KEEP AN ACCURATE, PERMITTED RECORD.",CAMERA,NEW_V08_Synchronized_Production_Package/03_RIVERSIDE/Riverside_CoCreator_Master_Prompt.txt,NEW_V08_Synchronized_Production_Package/03_RIVERSIDE/Camera_and_Full_Screen_Map.txt
